title,subTitle,start,end,color,img,desc,descImg,
深雪、初の企業案件(天下百剣)！,,2018-04-20,,#8258FA,,,,
9/23、東京都内にてにじさんじオンリー同人誌即売会を開催！,,2018-04-20,,#848484,,,,
にじさんじ、ユーザー参加型創作活動として「#にじさんじCREATORS」を始動！,,2018-04-20,,#01DFA5,,,,
あっくん大魔王、100万再生達成！！記念にアカペラライブ配信を開催,,2018-04-20,,#CC2EFA,,,,
にじさんじ模擬面接がツイッタートレンドにランクイン！,,2018-04-20,,#01DFA5,,,,
トリガーマン,デビルマンMADのトリガー版,2018-04-20,,#9A2EFE,,,,
にじさんじ疑似面接,ぽんぽこ あさひ 万楽えね ピーナッツ,2018-04-20,,#2EFE64,,,,
届木ウカ、旅行中に倒れる…疲れが溜まっていた模様,,2018-04-21,,#01A9DB,,,,
月ノ美兎が動画天才に言及。10分でわかるシリーズの転載は許可、配信のまるごと転載は不許可を名言,,2018-04-21,,#9A2EFE,,,,
ニーツ、グッズ販売を開始！,,2018-04-21,,#0000FF,,,,
響木アオ、本日ライブを開催！ツイッタートレンド2位にランクイン！！,,2018-04-21,,#FE2EF7,,,,
雪猫カゥル、本日で活動6周年！！,,2018-04-21,,#8000FF,,,,
ぽんぽこ、CH登録者数2万人突破！,,2018-04-21,,#B18904,,,,
勇気ちひろ、25日(水)よりYouTubeでの活動開始！,,2018-04-21,,#5858FA,,,,
万楽えね、公式HPを開設,,2018-04-21,,#BF00FF,,,,
23日(月) 20:00〜 月ノ美兎の第2回みとらじ！ゲストは鈴鹿詩子,,2018-04-21,,#B45F04,,,,
響木アオのライブ,TSUTAYA三軒茶屋店,2018-04-21,,#FE2EF7,,,,
Vtuber相関図4/22版に更新,,2018-04-22,,#2E2E2E,,,,
月ノ美兎、CH登録者数17万人突破！！,,2018-04-22,,#DF7401,,,,
渋谷ハジメ、CH登録者数2万人突破！,,2018-04-22,,#04B404,,,,
ときのそら、CH登録者数13万人突破！！,,2018-04-22,,#2E64FE,,,,
プニキライブ配信が流行,,2018-04-22,,#FF00BF,,,,
キズナアイ、ときのそら、翌朝6:30のNHK番組おはBizに出演！,,2018-04-22,,#2E9AFE,,,,
万楽えね、クリエイター支援サイトCi-enにて活動開始,,2018-04-23,,#DF01A5,,,,
あっくん大魔王、誕生日を迎える(999歳から999歳に),,2018-04-23,,#A901DB,,,,
虹河ラキ、公式グッズを発表！,,2018-04-23,,#31B404,,,,
おめがシスターズ、CH登録者数1万人突破！記念ライブ配信開催決定！,,2018-04-23,,#81BEF7,,,,
織田信姫、CH登録者数5千人突破,,2018-04-23,,#FE2EF7,,,,
NHKおはBiz,Vtuber 特集,2018-04-23,,#58ACFA,,,,
月ノ美兎の放課後ラジオ 30.4.23,詩子お姉ちゃんと委員長のコラボ,2018-04-23,,#FAAC58,,,,
たかじん、リリー博士、魔法少女ちあ、アクリルフィギュアを販売開始！,,2018-04-24,,#585858,,,,
スマホゲームのブレイブファンタジアで、けもみみおーこく国営放送とのコラボ『バーチャルのじゃロリ狐娘勇者おじさん』を開催,,2018-04-24,,#FF8000,,,,
おめがシスターズ、自身のモデルを使った格闘ゲーム『VtuberFighters』を公開,,2018-04-24,,#7401DF,,,,
ぽんぽこ、ピーナッツくん、OPENREC公式ストリーマーに就任！,,2018-04-24,,#FF8000,,,,
5/5(土) 、ニコ生にてVtuber人狼を開催！ 出演者：ゲームマスター／ばあちゃる プレイヤー：桜樹みりあ(ゲーム部プロジェクト) / 電脳少女シロ / ときのそら / 猫宮ひなた / ねこます / 富士葵 / ミライアカリ,,2018-04-24,,#D7DF01,,,,
静凛、CH登録者数9万人突破！,,2018-04-24,,#0000FF,,,,
フル版 ふしまつ対談 VTuber学芸会5 #VTuber学会,ねこますさんが未来について語る,2018-04-24,,#FE642E,,,,
キズナアイの番組のスポンサー１社おりる,理由この番組が視聴者やユーザー、スポンサーをバカにしていると感じたから。これ以上応援できない。,2018-04-24,,#FF00BF,,,,
バーチャル人狼 発表,5/5に開催,2018-04-24,,#2E2E2E,,,,
微糖カイジの豪遊雑談,,2018-04-24,,#088A29,,,,
グリーVtuberオーディション,Wright Flyer Live Entertainment,2018-04-24,,#31B404,,,pixiv,百度で誕生
微糖カイジ、CH登録者数2万人突破！,,2018-04-25,,#04B45F,,,,
バーチャルYouTu“BAR“出演者最後の一枠はのらきゃっとが登場！,,2018-04-25,,#61380B,,,,
ときのそら、自身の曲『夢色アスタリスク』がJOYSOUNDで配信開始！,,2018-04-25,,#5F04B4,,,,
シロ、フォロワー20万人突破！！,,2018-04-25,,#01DFD7,,,,
清楚ャーン,超カオスなMAD,2018-04-25,,#8000FF,,,,
5/5(土) 20:30〜 えのぐ、YouTubeにてオリジナル曲をライブ配信！,,2018-04-26,,#B45F04,,,,
ケリン、CH登録者数5千人突破,,2018-04-26,,#088A29,,,,
輝夜月ちゃん SHOWROOMでの生配信決定！！,,2018-04-26,,#AEB404,,,,
黒い砂漠の運営会社がVtuber支援企画を開始！,,2018-04-26,,#B45F04,,,,
富士葵、教育チャンネルとしてあおい’sきっずを設立,,2018-04-26,,#01A9DB,,,,
フィオ、VtuberとしてVR法人HIKKYに所属を発表！,,2018-04-26,,#31B404,,,,
微糖カイジ、著作権違反による動画削除申請を受ける…,,2018-04-26,,#04B45F,,,,
微糖カイジ 消える,,2018-04-26,,#B18904,,,,
シロ、フィギュア化計画開始！！,,2018-04-27,,#00BFFF,,,,
はちゃち、CH登録者数1万人突破！,,2018-04-27,,#FFBF00,,,,
ぽんぽこが24時間生放送のタイムスケジュールを発表！,,2018-04-27,,#DF7401,,,,
バーチャルゴリラ、CH登録者数2万人突破！,,2018-04-27,,#1C1C1C,,,,
オッドアイ、小山内めい、CH登録者数1万人突破！,,2018-04-27,,#B404AE,,,,
Vtuberが2000人超え！！,,2018-04-27,,#01DFD7,,,,
富士葵、新しい姿をお披露目！CH登録者数7万人突破！ツイッターとYahoo検索でトレンド入り！,,2018-04-27,,#00BFFF,,,,
電脳少女シロ、1/7フィギュア化計画を発表 Tokyo Otaku Mode＆壽屋とコラボ,1月7日,2018-04-27,,#58FAF4,,,,
Vtuber文化論発表,Vtuber文化のまとめ,2018-04-27,,#045FB4,,,,
バーチャルYouTu“BAR“,,2018-04-28,2018-04-30,green,,,,
雨下カイト、これまでのVtuberの活動を振り返る生放送を開催！,,2018-04-28,,#58D3F7,,,,
シークレットになっていた、ニコニコ超会議2日目のラストを飾るのは、電脳少女シロ！お悩み相談…ではなく、パイーン会を開催するとのこと,,2018-04-28,,#AEB404,,,,
つのはねあかぎ、pixivFANBOXを開始,,2018-04-28,,#8A0886,,,,
アカホシ大佐を皮切りに、一部で幼女化が流行る,,2018-04-28,,#FF4000,,,,
カフェ野ゾンビ子、5/4(金)24:00〜25:00に生放送開催！,,2018-04-28,,#B45F04,,,,
乾伸一郎、海月ねう、3Dモデルが完成！,,2018-04-28,,#00BFFF,,,,
あさひ、メガネが壊れる,,2018-04-28,,#585858,,,,
Vtuber 超会議にて　[超バーチャルYouTu“BAR”]開催,,2018-04-28,,#DF7401,,,,
響木アオ、5/14(月)に2回目のリアルイベントが開催決定！！,,2018-04-29,,#DF01D7,,,,
ケリン、ニコニコの例のアレ24時間ランキングで新作動画が初めて1位を取る,,2018-04-29,,#04B431,,,,
キズナアイ、Unity関連の国内最大のカンファレンスイベント『Unite Tokyo 2018』に、スペシャルゲストとして出演！,,2018-04-29,,#BF00FF,,,,
ユキミお姉ちゃん、アクリルフィギュアを販売開始！,,2018-04-29,,#FE2EF7,,,,
イラスト特化型のTwitter検索サービス『蒼天画廊』がCFを開始。返礼品はVtuber10人の特典ファイル,,2018-04-29,,#FF8000,,,,
魔法少女ちあのゲーム『ちあは魔法少女』が有志にて作られる,,2018-04-29,,#FF00FF,,,,
ニコニコ超会議の超音楽祭でキズナアイが大トリ！！小林幸子と千本桜をコラボし、さらに小林幸子もバーチャルの体を手に入れる,,2018-04-29,,#D7DF01,,,,
バーチャルおばあちゃん、CH登録者数9万人突破！,,2018-04-29,,#FF8000,,,,
名取さな、CH登録者数1万人突破！,,2018-04-29,,#FE2EF7,,,,
おめがシスターズ、初ライブ配信,,2018-04-29,,#D358F7,,,,
あさひ、2代目のメガネはRay-Ban製を購入,,2018-04-29,,#2ECCFA,,,,
霊電カスカ、活動再開・新3Dモデル完成か。新作動画が公開される！,,2018-04-30,,#2EFEC8,,,,
ミライアカリとヨメミが2回目のコラボ！PUBGをタッグプレイ,,2018-04-30,,#2E9AFE,,,,
富士葵、CH登録者数8万人突破！,,2018-04-30,,#2ECCFA,,,,
ときのそら、CH登録者数7万人突破！,,2018-04-30,,#58ACFA,,,,
公野ゆめか、MMDモデル配布開始！,,2018-05-01,,#FE2EF7,,,,
月ノ美兎、静凛、樋口楓がニコニコ超会議の後夜祭ライブ配信を各々のチャンネルで同時開催！,,2018-05-01,,#FE642E,,,,
TBSのサンデージャポンでVtuberが紹介される,,2018-05-01,,#5FB404,,,,
ミラティブがにじさんじ専用ギフトを用意！,,2018-05-01,,#01DFA5,,,,
5/12(土) にじさんじ一期生による人狼コラボを開催！,,2018-05-01,,#FE9A2E,,,,
ケリン、最新動画がその他カテゴリ合算24時間ランキングでも1位を取る,,2018-05-01,,#088A29,,,,
あさひ、オリジナルラップ『歩み』を投稿,,2018-05-01,,#0489B1,,,,
乾伸一郎、3Dモデル用のソフトをフルプライスで買うも、同日中にセールが始まる,,2018-05-01,,#8A4B08,,,,
月ノ美兎、静凛、樋口楓、物述有栖、アズマリムのスーパーチャットが解禁される！！すでに過去ライブ配信ページで投げ銭が行われる,,2018-05-01,,#DF0174,,,,
物述有栖、schwarz氏より3Dモデルが配布される,,2018-05-02,,#FFFF00,,,,
富士葵、初のライブ配信！Twitterトレンド入りも,,2018-05-02,,#2ECCFA,,,,
ミディ、pixivFANBOXを開設,,2018-05-02,,#6E6E6E,,,,
勇気ちひろ、CH登録者数3万人突破！,,2018-05-02,,#0080FF,,,,
株式会社mikai、専属Vtuberの募集を開始。期限は5/20まで,,2018-05-02,,#00FFBF,,,,
OPENRECにて、ゲーム配信に特化した新バーチャルライバーグループ「にじさんじゲーマーズ」が活動を開始！今後は定期放送を予定。またOPENRECのみの新メンバーも登場,,2018-05-02,,#2E2E2E,,,,
宇士海いちご、フォロワー数3万人突破！,,2018-05-02,,#DF01D7,,,,
剣持刀也、伏見ガクの3Dモデルが公開、配布される！,,2018-05-02,,#2E2E2E,,,,
ケリン、急上昇ランキングでキズナアイに次ぐ2位に浮上！CH登録者数1万人突破！,,2018-05-02,,#088A08,,,,
株式会社DUO、pixivにて『ミライアカリが決める！ 新VTuber募集コンテスト』を開催！,,2018-05-02,,#00BFFF,,,,
霊電カスカ、活動開催！！動画も投稿,,2018-05-03,,#00BFFF,,,,
フィオ、笑ったら負け凸待ちライブを開催！,,2018-05-03,,#01DF74,,,,
かしこまり、フォロワー2万人突破！,,2018-05-03,,#DBA901,,,,
響木アオ、CH登録者数2万人突破！,,2018-05-03,,#CC2EFA,,,,
.LIVE公式ライバー、活動開始・顔公開,,2018-05-03,,#2E2E2E,,,,
田中ヒメ、CH登録者数4万人突破！,,2018-05-03,,#FE2EF7,,,,
小山内めい、アクセスキーホルダーを販売開始！,,2018-05-03,,#DF7401,,,,
ぽんぽこ、ピーナッツ、24時間放送を開始！！トレンド1位、急上昇1位に。CH登録者数3万人突破！,,2018-05-03,,#FFBF00,,,,
ときのそら、新衣装を公開,,2018-05-03,,#0000FF,,,,
アイドル部デビュー,,2018-05-04,,black,,,,
ピーナッツくん、CH登録者数4万人突破！,,2018-05-04,,#FFBF00,,,,
あさひ、CH登録者数より先にフォロワー数が1万人突破する！,,2018-05-04,,#00BFFF,,,,
ぽんぽこ、24時間放送の凸企画ででDEKAKINとコラボする。スマートニュースで記事が作成される,,2018-05-04,,#FFBF00,,,,
かしこまり、CH登録者数5万人突破！,,2018-05-04,,#D7DF01,,,,
シロ出演の番組『サイキ道』、CSテレ朝第1、2回が今夜10時に再放送,,2018-05-04,,#2ECCFA,,,,
えのぐ、初ライブを生放送で開催、オリジナル曲を披露！無事成功させる！！,,2018-05-05,,#FFBF00,,,,
VRの可能性を追求していく放送局として、『VRoadCaster』が始動！,,2018-05-05,,#585858,,,,
輝夜月のSHOWROOM配信でのポイントは昨日1回だけで235万！バーチャルYouTuber総合ランキングで3位に,,2018-05-05,,#AEB404,,,,
ピーナッツくん、YouTubeのバグによりCH登録者が43000人から38000人に減る,,2018-05-05,,#FFBF00,,,,
富士葵、CH登録者数9万人突破！,,2018-05-05,,#01A9DB,,,,
物述有栖、勇気ちひろ、森中花咲、宇士海いちご、にじさんじロリ組コラボを開催！,,2018-05-05,,#A901DB,,,,
輝夜月、初ライブ配信！！8万人近くが来場・キズナアイがSPギフトの累計ランキング1位に！ばあちゃる、東雲めぐもランキング上位入り！,,2018-05-05,,#D7DF01,,,,
深雪、コミティアに参加しオリジナルグッズを販売する,,2018-05-05,,#CC2EFA,,,,
DD、LINEスタンプを販売開始！,,2018-05-05,,#2E64FE,,,,
バーチャルYouTuber人狼が開催！！37万人以上が来場,,2018-05-05,,#848484,,,,
ケリン、フォロワー10000人突破！,,2018-05-06,,#04B45F,,,,
あっくん大魔王、深夜の雑談配信で.LIVEアイドル部メンバーやばあちゃるが押しかけて来る,,2018-05-06,,#04B45F,,,,
ゴリラ、6/10(日) 渋谷にて初のワンマンライブを開催！！,,2018-05-06,,#424242,,,,
れらたん主催の人狼コラボが開催！,,2018-05-06,,#CC2EFA,,,,
鈴谷アキ、CH登録者数30000人突破！,,2018-05-06,,#CC2EFA,,,,
霊電カスカ、pixivFANBOXを開設,,2018-05-07,,#01A9DB,,,,
樋口楓、CH登録者数10万人突破！！,,2018-05-07,,#FE642E,,,,
キズナアイ、フォロワー40万人突破！！,,2018-05-07,,#FE2EF7,,,,
ロボ子、CH登録者数20000人突破！,,2018-05-07,,#FA58D0,,,,
いちから、『にじさんじSEEDs』のオーディション募集スタート！！5月15日締切　同時に、一時〆切していたキャラクターから作る随時募集オーディションも再開！,,2018-05-08,,#D358F7,,,,
ミディ、新曲『超絶爽快adventure』を発表,,2018-05-08,,#6E6E6E,,,,
静凛、CH登録者数10万人突破！！,,2018-05-08,,#0000FF,,,,
東雲めぐ、CH登録者数20000人突破！5/12(土)ゲームイベント『C4LAN』に登場！たくあんマン缶バッジを配布,,2018-05-09,,#FFBF00,,,,
魔法少女ちあ、夜桜たま、CH登録者数10000人突破！,,2018-05-09,,#DF0101,,,,
静凛と樋口楓、5/10(木) 21:00〜W登録者数10万人ありがとうLIVEを開催！,,2018-05-09,,#2E2E2E,,,,
勇気ちひろ、BOOTHにてボイス販売開始！,,2018-05-10,,#013ADF,,,,
ユキミお姉ちゃん、アクネッティ、pixivFANBOXを開設,,2018-05-10,,#DF01D7,,,,
剣持刀也、CH登録者数50000人突破！,,2018-05-10,,#6E6E6E,,,,
あっくん大魔王、YouTubeの自チャンネルが収益化解禁！,,2018-05-10,,#BF00FF,,,,
パゲ美、CH登録者数10000人突破！,,2018-05-12,,#FF00FF,,,,
北上双葉、CH登録者数10000人突破！,,2018-05-12,,#5858FA,,,,
藤崎結愛、CH登録者数50000人突破！,,2018-05-12,,#BE81F7,,,,
万楽えね、CH登録者数2万人突破！,,2018-05-13,,#DA81F5,,,,
微糖カイジ、キャラデザを万楽えねが作成、名前を『天開司』に改名！,,2018-05-13,,#01DF01,,,,
木曽あずき、巣黒るい、CH登録者数1万人突破！,,2018-05-13,,#FE9A2E,,,,
金剛いろは、花京院ちえり、CH登録者数1万人突破！,,2018-05-13,,#BFFF00,,,,
おめがシスターズ、CH登録者数2万人突破！,,2018-05-13,,#58ACFA,,,,
かしこまり、初ライブを6/8(金)19:00から開催！！,,2018-05-13,,#F7D358,,,,
乾伸一郎、CH登録者数4万人突破！,,2018-05-13,,#FAAC58,,,,
Bitstar、演者オーディションを20日まで募集開始,,2018-05-14,,#848484,,,,
はちこ、はちゃち、CH登録者数1万人突破！,,2018-05-14,,#FACC2E,,,,
ロボ子、CH登録者数2万人突破！,,2018-05-14,,#9A2EFE,,,,
VRoadCasterがpixivFANBOXを開設,,2018-05-14,,#424242,,,,
響木アオ、リアルトークライブを開催！！,,2018-05-14,,#FE2EF7,,,,
萌美ヨメミ、CH登録者数20万人突破！！,,2018-05-15,,#FF00BF,,,,
ケリン、CH登録者数2万人突破！新作動画がニコニコ24時間総合ランキングで1位に！,,2018-05-15,,#31B404,,,,
薬袋カルテ、活動3ヶ月を迎えるも自身のPCスペックの低さを実感し打ちひしがれる,,2018-05-15,,#01DF74,,,,
パンディ、ついにプニキでロビンを撃破！！,,2018-05-15,,#D7DF01,,,,
ときのそら、本日誕生日！,,2018-05-15,,#00FFFF,,,,
ミライアカリが歌った『ECHO』が素晴らしいと話題に,,2018-05-15,,#2ECCFA,,,,
バーチャルおばあちゃん、CH登録者数10万人突破！！,,2018-05-16,,#FF8000,,,,
パンディ、自CHを開設！,,2018-05-16,,#D7DF01,,,,
巣黒るい、pixivFANBOX,,2018-05-16,,#DF7401,,,,
アリシアソリッド率いる黒い砂漠のVtuberギルド名が『仮想の住人』に決定。,,2018-05-16,,#AEB404,,,,
ヨメミ、月ノ美兎がコラボ動画を投稿！,,2018-05-16,,#585858,,,,
届木ウカ、アクリルフィギュアを販売開始！,,2018-05-16,,#0489B1,,,,
姉崎ユキミ、CH登録者数1万人突破！,,2018-05-16,,#8904B1,,,,
ミライアカリが歌ったECHO、動画急上昇1位に！！,,2018-05-16,,#01A9DB,,,,
あっくん大魔王、アクリルフィギュアを販売開始！,,2018-05-16,,#6A0888,,,,
あっくん大魔王、ケリン、pixivFANBOXを開設！,,2018-05-16,,#4B8A08,,,,
ハッカドール、Vtuber活動開始を発表！！,,2018-05-16,,#0489B1,,,,
ミライアカリ、5/22、23に日本マイクロソフト主催の『decode 2018』に出演！,,2018-05-17,,#08298A,,,,
名取さな、叶(にじさんじゲーマーズ)、CH登録者数2万人突破！,,2018-05-17,,#8A084B,,,,
富士葵、CH登録者数10万人突破！！,,2018-05-17,,#0431B4,,,,
コトダマン公式により、ナイセンがコトダマン化される,,2018-05-17,,#08298A,,,,
あさひ、pixivFANBOXを開設！,,2018-05-17,,#045FB4,,,,
姉崎ユキミ、OPENREC公式ストリーマーに就任！,,2018-05-17,,#6A0888,,,,
猫乃木もち、CH登録者数1万人突破！,,2018-05-17,,#8A2908,,,,
姫宮縷愛、アクリルフィギュアを販売開始！,,2018-05-17,,#8A0868,,,,
シロ、CH登録者数46万人突破！！,,2018-05-17,,#086A87,,,,
アクネッティ、pixivFANBOXを開設！,,2018-05-17,,#2E2E2E,,,,
ばーちゃる神さま、OPENREC公認ストリーマーに就任！,,2018-05-17,,#8A4B08,,,,
おだのぶ、アクリルフィギュアを販売開始！,,2018-05-18,,#688A08,,,,
ギルザレンⅢ世、CH登録者数2万人突破！,,2018-05-18,,#424242,,,,
シロウケン、八重沢なとり、CH登録者数1万人突破！,,2018-05-18,,#B40431,,,,
織田信姫、四魔師団長を召喚。全員がTwitterアカウントを開設,,2018-05-18,,#3104B4,,,,
DD、中国最大の同人イベントCOMIC UPに出演,,2018-05-19,,#08088A,,,,
ClasterVRを使用した月ノ美兎のVR教室生放送が開催！,,2018-05-19,,#8904B1,,,,
ハンゲームの歌謡タイピング劇場にないせんのうたが登場！,,2018-05-19,,#086A87,,,,
かしこまり、CH登録者数6万人突破！,,2018-05-19,,#868A08,,,,
電脳少女シロ、テレビ東京のマツコ監禁に出演！全国ネット地上波テレビ放送の初出演Vtuberになる,,2018-05-19,,#0489B1,,,,
キズナアイ、A.I. GamesのCH登録者数が80万人突破！！,,2018-05-20,,#8A0868,,,,
キズナアイ、6/30にアンソロジーコミックが発売！,,2018-05-20,,#610B5E,,,,
本日で.LIVEのアイドル部が全員デビュー完了,,2018-05-20,,#AEB404,,,,
届木ウカ、CH登録者数3万人突破！,,2018-05-20,,#2EFE9A,,,,
白鳥甘羽、pixivFANBOXを開設,,2018-05-20,,#6E6E6E,,,,
東雲めぐ、日経トレンディに取材を受ける 生放送の様子が収録される,,2018-05-20,,#F7D358,,,,
ふぇありす、CH登録者数1万人突破！,,2018-05-20,,#D358F7,,,,
届木ウカ、pixivFANBOXを開設,,2018-05-20,,#58FAD0,,,,
森中花咲、CH登録者数3万人突破！,,2018-05-21,,#A5DF00,,,,
あっくん大魔王、OPENREC公式ストリーマーに就任！,,2018-05-21,,#9A2EFE,,,,
電脳少女シロ、CH登録者数464646人突破！！,,2018-05-21,,#2EFEF7,,,,
株式会社BitStarにより、アマリリス組がVtuber事業として本格活動開始！,,2018-05-21,,#B404AE,,,,
牛巻りこ、CH登録者数1万人突破！,,2018-05-22,,#D7DF01,,,,
クラスターとマクアケにより、現在2DVtuberの3Dモデル化をサポートする新プロジェクト「サンジゲンカProject」を発足！！,,2018-05-22,,#01DFA5,,,,
家長むぎ、田中ヒメ、CH登録者数5万人突破！,,2018-05-22,,#086A87,,,,
モスコミュール、CH登録者数1万人突破！,,2018-05-22,,#DF7401,,,,
おめがシスターズ、動画総再生数100万回突破！,,2018-05-22,,#FE2E9A,,,,
もちひよこ、怪我をして救急車を呼ぶ事態に…viveのベースステーションの落下のためか,,2018-05-23,,#FA58F4,,,,
ディープブリザード、CH登録者数2万人突破！,,2018-05-23,,#9A2EFE,,,,
女神エルミナ、OPENREC公式ストリーマーに就任,,2018-05-23,,#B404AE,,,,
Icotsu、アクリルフィギュアの販売開始！,,2018-05-23,,#190710,,,,
ユリイカ8月号にバーチャルYouTuberが特集される。届木ウカ、月ノ美兎、赤月ゆに、万楽えね、皇牙サキがエッセイを寄稿,,2018-05-23,,#151515,,,,
森中花咲、ライブ配信で大人に変身した姿を披露！,,2018-05-23,,#40FF00,,,,
キスの日に合わせ、ミライアカリを始めTwitterが盛り上がる,,2018-05-23,,#81F7F3,,,,
ロボ子、森中花咲、本日誕生日！！,,2018-05-23,,#848484,,,,
アクネッティ、OPENREC公式ストリーマーに就任！,,2018-05-23,,#58FAAC,,,,
万楽えねがバイオリンで愛の挨拶の演奏動画をTwitterで披露,,2018-05-23,,#D358F7,,,,
電脳少女シロがMCを勤めるTV番組『サイキ道』が好評により「サイキ道 バラステ誕生SP! !」として特番が決定！！6/8(金) 26:55〜,,2018-05-24,,#2EFEC8,,,,
けもみみおーこく国営放送をモチーフにしたワールド『Kemomimi Town』がパブリック化！,,2018-05-24,,#FE9A2E,,,,
ときのそら、5/26(土)にClasterでのライブ配信を開催！,,2018-05-24,,#58FAD0,,,,
六道冥がUnityのプログラマーを募集,,2018-05-24,,#8904B1,,,,
田中ヒメクソMADグランプリが開催,,2018-05-24,,#FE2E9A,,,,
キズナアイ、マリオカート『キズナアイ杯』の参加Vtuberを募集！！,,2018-05-24,,#D358F7,,,,
ぽんぽこ、CH登録者数4万人突破！,,2018-05-24,,#FFBF00,,,,
名取さな、CH登録者数3万人突破！,,2018-05-24,,#DF01D7,,,,
カバー株式会社がVtuberの配信サービスエンジニアを募集,,2018-05-24,,#6E6E6E,,,,
文野環、喉の酷使により1週間のドクターストップ…,,2018-05-24,,#FE9A2E,,,,
にじさんじ1期生のボイス付きLINEスタンプが発売！！売上ランキング1位に,,2018-05-24,,#848484,,,,
ねこます、みここのフィギュア化が決定！！,,2018-05-25,,#FA8258,,,,
万楽えね、YouTubeでのライブ放送規制が解禁 記念に月ノ美兎、鈴鹿詩子とコラボ(OPENRECで),,2018-05-25,,#DA81F5,,,,
電脳少女シロ、ねんどろいど化決定！,,2018-05-25,,#81F7D8,,,,
シロウケン、OPENREC公式ストリーマーに就任,,2018-05-25,,#FE9A2E,,,,
魔王ヘルネス、現行・配布3Dモデルの一部にTda式を使用しており、規約違反をしていたことが判明… 現在のヘルネスモデルは破棄、新モデル作成を明言,,2018-05-25,,#FE2E9A,,,,
万楽えね、過去に描いた漫画を公開,,2018-05-25,,#CC2EFA,,,,
ディープブリザード、イラスト製作依頼の料金目安を公開(Vtuber向け料金),,2018-05-26,,#DA81F5,,,,
ニーミの3Dモデルを公開、ニコニ立体で配布！,,2018-05-26,,#F4FA58,,,,
ときのそら、cluster.を使用したライブ配信を開催,,2018-05-26,,#58FAF4,,,,
世界クルミ、オリジナルLINEスタンプが発売,,2018-05-26,,#64FE2E,,,,
魔法少女ちあ、公式サイトがオープン！,,2018-05-26,,#FA58F4,,,,
輝夜月、figma化決定！！,,2018-05-26,,#FFBF00,,,,
ミライアカリ、ねんどろいど化決定！！,,2018-05-26,,#00FFFF,,,,
薬袋カルテ、CH登録者数7万人突破！,,2018-05-26,,#04B404,,,,
叶(にじさんじゲーマーズ)、ボイス販売開始！,,2018-05-26,,#DF7401,,,,
ニーツ、3DモデルとUTAU音源を配布開始！,,2018-05-26,,#0080FF,,,,
VRoadCasterの公式HPが開設,,2018-05-27,,#08088A,,,,
赤羽葉子、CH登録者数2万人突破！,,2018-05-27,,#FE2E2E,,,,
歌衣メイカ、アクリルフィギュアを販売開始！,,2018-05-27,,#848484,,,,
響木アオ、新作動画がニコニコの24時間総合ランキングで1位に！,,2018-05-27,,#F781F3,,,,
ウェザーロイドAiri、CH登録者数3万人突破！,,2018-05-27,,#81F7F3,,,,
名取さな、CH登録者数とフォロワー数が4万人突破！,,2018-05-28,,#F781F3,,,,
はちこ、アパレルブランド42とコラボ！,,2018-05-28,,#FAAC58,,,,
エルフのえる、CH登録者数7万人突破！,,2018-05-28,,#80FF00,,,,
勇者ことねの3Dモデルがニコニ立体で配布開始,,2018-05-28,,#FE9A2E,,,,
Icotsu、CH登録者数1万人突破！,,2018-05-28,,#2E2E2E,,,,
バーチャルYouTuberが3000人超え！！ファン総数は1000万人規模に！,,2018-05-28,,#FFBF00,,,,
バーチャルYouTuberのコンテンツを楽しみたい人ためのアプリ『FEVR』がリリース！(iOSのみ、Android版は6月上旬),,2018-05-28,,#F5DA81,,,,
キズナアイ、ローソンで6/5から「キズナアイ」キャンペーン実施決定！限定描き下ろしイラストのオリジナルグッズなど,,2018-05-29,,#DA81F5,,,,
さはな、pixivFANBOX開設,,2018-05-29,,#F4FA58,,,,
キズナアイのアニメイトコラボカフェが本日よりオープン！,,2018-05-29,,#FF00BF,,,,
藤崎由愛、自分がVtuberだということに気付く,,2018-05-30,,#F781F3,,,,
田中ヒメ、鈴木ヒナのデビューに合わせCH名をHimeHinaChannelに変更,,2018-05-30,,#FE2EF7,,,,
にじさんじSEEDsオーディションが2次審査まで終了 6月上旬デビュー予定,,2018-05-30,,#9FF781,,,,
VTuber支援プロジェクト「upd8」開始,,2018-05-31,,yellow,,,,
じーえふちゃんの中身が決まり、Vtuberデビュー！(22歳バツイチ子持ち女子大生),,2018-05-31,,#848484,,,,
ぽんぽこ、pixivFANBOXを開設,,2018-05-31,,#FAAC58,,,,
鈴木セシルが自身のモデルの構造を公開,,2018-05-31,,#F7FE2E,,,,
Activ8が、バーチャルタレント本人やバーチャルタレントを目指す個人・チームを応援するプロジェクト「upd8（アップデート）」を開始！また、Activ8がキズナアイの運営に携わっていることを公に初めて発表！,,2018-05-31,,#2E2E2E,,,,
輝夜月、2回目のライブ配信,,2018-06-01,,#FE9A2E,,,,
にじさんじの妹分ユニット『有閑喫茶あにまーれ』が始動！,,2018-06-01,,#FE2E2E,,,,
仮面ライバーもやし、OPENREC公式ストリーマーに就任,,2018-06-01,,#FE2EF7,,,,
コラボ企画、『パンディのクイズVS』が開催！ゲストMCに樋口楓、回答者に青道アカト、らんまる,,2018-06-01,,#FF8000,,,,
のらきゃっと、TV番組『大阪ほんわかテレビ』に出演！！,,2018-06-01,,#6E6E6E,,,,
大佐、タマキン、OPENREC公式ストリーマーに就任！,,2018-06-01,,#FFBF00,,,,
